id,ImpressionID,User,CandidateNews,ClickedNews
0,62,786,"[6, 3, 9]","[2, 5, 10]"
1,10,196,"[4, 1, 7]","[8, 5, 11]"
2,9,755,"[4, 8, 10]","[9, 1, 10]"
3,79,41,"[11, 10, 7]","[7, 11, 4]"
4,54,331,"[11, 1, 3]","[8, 6, 7]"
5,46,897,"[1, 10, 8]","[10, 2, 1]"
6,67,454,"[2, 11, 3]","[10, 11, 1]"
7,84,779,"[1, 8, 5]","[7, 3, 8]"
8,9,769,"[8, 5, 10]","[2, 10, 5]"
9,48,311,"[4, 9, 5]","[3, 7, 6]"
10,77,775,"[10, 6, 4]","[1, 5, 8]"
11,97,267,"[5, 3, 8]","[8, 11, 10]"
12,21,527,"[9, 10, 10]","[8, 11, 9]"
13,24,277,"[8, 10, 11]","[1, 3, 4]"
14,18,523,"[5, 1, 9]","[4, 6, 11]"
15,74,951,"[2, 6, 5]","[6, 7, 1]"
16,63,237,"[5, 3, 10]","[8, 4, 1]"
17,61,808,"[1, 6, 8]","[7, 6, 7]"
18,79,659,"[10, 1, 1]","[4, 7, 3]"
19,43,9,"[10, 7, 3]","[8, 8, 3]"
20,28,619,"[8, 1, 3]","[8, 4, 10]"
21,89,939,"[10, 7, 9]","[8, 2, 5]"
22,39,948,"[1, 8, 1]","[11, 11, 9]"
23,97,177,"[3, 4, 4]","[7, 5, 9]"
24,23,781,"[8, 6, 10]","[9, 6, 1]"
25,36,350,"[2, 10, 8]","[4, 6, 6]"
26,61,711,"[10, 3, 3]","[7, 3, 7]"
27,11,153,"[6, 2, 2]","[3, 9, 4]"
28,4,384,"[4, 5, 5]","[1, 5, 2]"
29,29,614,"[10, 10, 7]","[4, 11, 5]"
30,67,153,"[3, 11, 11]","[5, 5, 7]"
31,35,117,"[6, 11, 8]","[6, 4, 5]"
32,98,918,"[2, 4, 4]","[9, 2, 1]"
33,55,951,"[1, 1, 5]","[1, 7, 6]"
34,89,413,"[10, 2, 3]","[6, 10, 2]"
35,48,264,"[7, 1, 7]","[8, 6, 6]"
36,39,719,"[8, 10, 2]","[5, 7, 10]"
37,76,707,"[8, 10, 2]","[3, 7, 5]"
38,91,639,"[4, 6, 1]","[10, 7, 4]"
39,48,698,"[9, 3, 7]","[11, 8, 9]"
40,82,863,"[3, 6, 6]","[3, 11, 11]"
41,70,975,"[3, 5, 6]","[2, 1, 1]"
42,75,361,"[3, 5, 1]","[3, 7, 6]"
43,53,560,"[1, 1, 6]","[11, 5, 8]"
44,65,131,"[8, 7, 7]","[10, 3, 6]"
45,15,959,"[7, 2, 2]","[7, 8, 6]"
46,10,616,"[6, 7, 10]","[6, 5, 4]"
47,7,225,"[6, 2, 5]","[4, 11, 5]"
48,57,694,"[7, 9, 9]","[2, 4, 8]"
49,24,535,"[9, 3, 2]","[1, 5, 1]"
50,29,123,"[8, 7, 4]","[2, 10, 4]"
51,93,999,"[1, 5, 11]","[8, 1, 3]"
52,78,333,"[10, 1, 3]","[9, 5, 1]"
53,35,476,"[4, 1, 7]","[8, 5, 9]"
54,12,489,"[9, 11, 8]","[7, 7, 8]"
55,68,992,"[7, 2, 2]","[1, 11, 6]"
56,7,295,"[5, 9, 9]","[10, 6, 6]"
57,87,389,"[9, 7, 1]","[10, 4, 7]"
58,49,467,"[10, 8, 8]","[11, 5, 8]"
59,1,253,"[10, 7, 7]","[2, 9, 10]"
60,98,76,"[11, 1, 1]","[4, 1, 5]"
61,39,119,"[1, 3, 3]","[11, 8, 9]"
62,9,207,"[7, 6, 1]","[5, 7, 4]"
63,4,131,"[11, 8, 4]","[10, 8, 11]"
64,89,35,"[11, 8, 1]","[2, 10, 5]"
65,49,471,"[5, 11, 6]","[3, 1, 2]"
66,89,316,"[7, 1, 9]","[3, 6, 1]"
67,50,146,"[6, 1, 10]","[2, 3, 1]"
68,48,890,"[4, 11, 5]","[2, 7, 1]"
69,28,375,"[7, 5, 9]","[7, 8, 10]"
70,9,692,"[9, 1, 1]","[3, 4, 9]"
71,99,883,"[3, 3, 8]","[3, 5, 3]"
72,94,354,"[11, 7, 5]","[7, 8, 3]"
73,71,398,"[7, 1, 7]","[5, 2, 10]"
74,69,393,"[7, 6, 2]","[5, 3, 6]"
75,20,45,"[10, 2, 11]","[6, 7, 7]"
76,21,424,"[3, 11, 1]","[3, 4, 7]"
77,11,392,"[5, 11, 9]","[5, 4, 11]"
78,34,466,"[5, 6, 5]","[4, 10, 5]"
79,36,695,"[3, 9, 3]","[11, 1, 8]"
80,80,907,"[10, 9, 7]","[6, 11, 5]"
81,4,255,"[3, 11, 6]","[7, 6, 3]"
82,42,834,"[11, 8, 4]","[1, 2, 4]"
83,44,802,"[11, 2, 3]","[6, 1, 7]"
84,1,591,"[1, 6, 6]","[4, 10, 8]"
85,16,192,"[1, 1, 1]","[8, 6, 11]"
86,21,537,"[3, 6, 11]","[2, 5, 7]"
87,48,367,"[3, 6, 6]","[6, 8, 3]"
